time,open,high,low,close,volume,spread,real_volume
2015-06-12,223.08,224.68,222.37,223.86,3841,0,0
2015-06-15,225.98,231.06,225.68,229.96,6781,0,0
2015-06-16,229.92,246.01,228.46,244.18,20841,0,0
2015-06-17,244.22,250.93,238.37,241.78,22681,0,0
2015-06-18,241.08,245.09,236.13,242.38,16621,0,0
2015-06-19,242.39,243.84,238.43,240.08,8511,0,0
2015-06-22,237.61,241.84,236.76,240.0,7771,0,0
2015-06-23,239.99,241.2,236.35,237.8,7511,0,0
2015-06-24,237.82,237.98,232.95,234.19,6431,0,0
2015-06-25,234.08,236.81,233.58,236.03,4511,0,0
2015-06-26,235.98,236.16,234.39,235.43,2991,0,0
2015-06-29,242.67,250.38,242.33,250.02,8751,0,0
2015-06-30,250.03,261.67,249.07,256.46,18771,0,0
2015-07-01,256.54,258.91,248.36,251.57,16131,0,0
2015-07-02,251.6,254.67,247.25,248.52,11761,0,0
2015-07-03,248.51,250.44,246.42,249.47,7081,0,0
2015-07-06,265.47,272.42,261.6,262.52,18691,0,0
2015-07-07,262.53,265.63,258.13,259.59,12061,0,0
2015-07-08,259.72,267.22,257.18,264.53,15271,0,0
2015-07-09,264.52,265.98,259.98,262.79,10271,0,0
2015-07-10,262.83,288.68,262.66,281.18,33691,0,0
2015-07-13,304.56,304.73,275.03,286.4,41241,0,0
2015-07-14,286.32,290.96,280.07,281.31,16771,0,0
2015-07-15,281.3,287.68,278.36,279.56,16901,0,0
2015-07-16,279.6,286.44,268.96,271.82,27181,0,0
2015-07-17,271.83,274.76,266.36,272.27,16361,0,0
2015-07-20,269.1,273.34,268.65,273.14,5341,0,0
2015-07-21,273.13,275.07,270.35,270.76,7071,0,0
2015-07-22,270.72,271.97,269.1,271.62,4841,0,0
2015-07-23,271.6,272.55,269.89,270.39,4111,0,0
2015-07-24,270.4,283.55,269.99,282.17,15351,0,0
2015-07-27,287.01,291.45,280.52,288.12,20751,0,0
2015-07-28,288.13,291.0,286.2,287.84,9311,0,0
2015-07-29,287.85,288.56,281.33,283.81,10421,0,0
2015-07-30,283.82,284.23,278.73,282.16,9341,0,0
2015-07-31,282.17,282.97,275.98,278.45,10261,0,0
2015-08-03,276.12,279.75,273.36,274.36,11021,0,0
2015-08-04,274.37,279.72,274.34,278.95,6181,0,0
2015-08-05,278.96,279.77,274.79,275.05,6051,0,0
2015-08-06,275.04,275.63,270.7,271.27,6091,0,0
2015-08-07,271.24,274.39,268.39,273.54,9701,0,0
2015-08-10,258.84,260.76,255.86,258.2,9161,0,0
2015-08-11,258.19,265.43,258.04,265.07,7901,0,0
2015-08-12,264.88,265.1,259.87,261.63,7211,0,0
2015-08-13,261.41,261.68,256.39,258.57,7741,0,0
2015-08-14,258.56,260.99,256.1,260.56,7781,0,0
2015-08-17,250.24,253.12,249.17,250.57,7571,0,0
2015-08-18,250.74,250.96,215.12,218.4,39341,0,0
2015-08-19,218.41,231.57,216.07,220.54,28871,0,0
2015-08-20,220.53,230.66,220.48,229.29,11601,0,0
2015-08-21,229.35,230.63,225.79,227.15,7481,0,0
2015-08-24,222.77,222.98,203.3,204.02,20611,0,0
2015-08-25,204.03,222.04,192.69,216.25,46481,0,0
2015-08-26,216.26,224.92,213.78,219.62,18921,0,0
2015-08-27,219.81,222.75,217.3,219.2,10291,0,0
2015-08-28,219.14,229.84,214.45,227.62,22301,0,0
2015-08-31,223.26,226.46,218.64,224.06,14841,0,0
2015-09-01,224.07,225.58,220.21,221.96,8631,0,0
2015-09-02,221.97,224.77,220.16,223.08,8111,0,0
2015-09-03,223.03,223.89,220.55,221.17,4821,0,0
2015-09-04,221.18,225.39,220.53,225.12,5781,0,0
2015-09-07,234.31,236.84,232.63,234.44,8291,0,0
2015-09-08,234.28,240.15,233.98,237.9,8721,0,0
2015-09-09,237.97,238.15,231.01,232.27,8581,0,0
2015-09-10,232.28,235.47,228.98,232.61,12651,0,0
2015-09-11,232.62,234.94,231.56,233.72,5661,0,0
2015-09-14,223.79,226.63,217.99,223.78,17271,0,0
2015-09-15,223.71,225.18,221.76,224.0,6551,0,0
2015-09-16,224.03,224.5,218.5,222.25,10221,0,0
2015-09-17,222.24,228.9,220.99,226.3,11761,0,0
2015-09-18,226.29,228.26,225.8,227.29,3921,0,0
2015-09-21,223.61,223.94,219.05,219.86,6031,0,0
2015-09-22,219.87,225.88,217.13,224.23,13141,0,0
2015-09-23,224.24,225.42,222.43,223.34,5081,0,0
2015-09-24,223.35,229.43,223.06,227.89,8201,0,0
2015-09-25,227.9,231.16,226.74,228.4,8341,0,0
2015-09-28,226.03,233.68,226.01,233.15,8221,0,0
2015-09-29,232.89,234.36,229.23,230.67,8041,0,0
2015-09-30,230.74,231.95,228.69,230.03,5811,0,0
2015-10-01,230.04,233.2,229.03,231.14,7241,0,0
2015-10-02,231.57,233.03,229.23,231.61,7561,0,0
2015-10-05,232.41,234.73,230.1,234.73,6941,0,0
2015-10-06,234.71,242.07,233.94,240.69,10281,0,0
2015-10-07,240.68,241.65,236.65,237.27,6591,0,0
2015-10-08,237.26,238.7,236.1,236.93,4871,0,0
2015-10-09,236.94,238.81,236.28,238.48,3521,0,0
2015-10-12,241.77,242.43,239.03,239.57,4601,0,0
2015-10-13,239.58,244.86,237.23,243.78,11061,0,0
2015-10-14,243.79,249.9,242.41,246.36,12411,0,0
2015-10-15,246.38,250.35,245.29,248.24,8261,0,0
2015-10-16,248.22,261.0,247.81,253.93,20671,0,0
2015-10-19,254.6,259.94,253.86,258.0,8761,0,0
2015-10-20,258.06,266.88,256.83,264.42,13741,0,0
2015-10-21,264.5,266.26,258.2,261.76,13381,0,0
2015-10-22,261.77,274.05,261.48,268.93,17981,0,0
2015-10-23,268.94,274.07,268.18,272.34,8381,0,0
2015-10-26,278.04,280.98,273.3,280.7,12701,0,0
2015-10-27,280.71,293.09,280.46,289.11,16861,0,0
2015-10-28,289.13,302.48,288.69,299.21,17501,0,0
2015-10-29,299.22,313.58,295.72,308.84,26101,0,0
2015-10-30,308.86,328.04,307.61,317.65,32071,0,0
2015-11-02,319.71,363.01,314.07,355.5,62091,0,0
2015-11-03,356.21,413.83,354.41,398.44,76611,0,0
2015-11-04,398.43,495.98,363.89,402.0,260611,0,0
2015-11-05,402.49,442.06,358.92,380.64,144431,0,0
2015-11-06,380.65,390.59,347.43,367.2,72871,0,0
2015-11-09,366.8,380.75,354.62,372.68,46381,0,0
2015-11-10,372.98,375.1,319.14,329.84,68781,0,0
2015-11-11,329.91,334.7,288.07,303.68,67031,0,0
2015-11-12,303.93,338.41,303.19,331.09,43281,0,0
2015-11-13,331.0,335.9,319.43,325.16,27101,0,0
2015-11-16,312.46,326.11,309.02,324.82,21821,0,0
2015-11-17,324.83,335.47,323.43,329.9,19011,0,0
2015-11-18,329.91,331.6,324.36,329.09,13661,0,0
2015-11-19,329.1,330.47,318.92,320.27,14271,0,0
2015-11-20,320.42,321.72,304.13,315.64,30401,0,0
2015-11-23,318.39,320.05,314.47,317.42,10191,0,0
2015-11-24,317.47,317.47,311.21,313.67,8721,0,0
2015-11-25,313.85,324.8,310.04,322.9,20471,0,0
2015-11-26,322.89,362.92,322.54,347.68,55971,0,0
2015-11-27,347.67,358.77,342.15,352.18,28731,0,0
2015-11-30,365.34,376.99,362.83,370.86,22801,0,0
2015-12-01,370.83,373.01,348.84,356.88,34391,0,0
2015-12-02,356.87,356.88,342.62,353.0,24651,0,0
2015-12-03,353.02,364.29,350.35,355.48,25421,0,0
2015-12-04,355.5,357.49,350.01,356.28,14181,0,0
2015-12-07,382.4,393.77,376.19,389.05,28511,0,0
2015-12-08,389.06,412.83,382.42,411.17,38711,0,0
2015-12-09,411.62,418.92,396.11,410.84,44841,0,0
2015-12-10,410.77,413.79,402.99,409.35,20181,0,0
2015-12-11,409.34,448.0,409.2,445.11,41831,0,0
2015-12-14,427.22,442.1,422.45,437.24,29281,0,0
2015-12-15,437.3,458.55,436.92,458.55,22011,0,0
2015-12-16,458.54,458.54,433.95,449.89,40531,0,0
2015-12-17,449.44,452.84,443.37,449.77,18611,0,0
2015-12-18,449.75,460.45,447.63,457.11,18281,0,0
2015-12-21,436.13,440.96,419.53,431.73,38461,0,0
